ZipCode,MedianIncome,MarginOfError
00601,15292,1299
00602,18716,1340
00603,16789,966
00606,18835,2837
00610,21239,1919
00611,17143,10456
00612,19934,1156
00616,19130,2212
00617,19048,2626
00622,17728,4116
00623,18690,1180
00624,18136,1095
00627,19745,1269
00631,15234,8031
00636,,
00637,19042,1565
00638,18968,1978
00641,16233,1160
00646,29568,3990
00647,14430,3220
00650,20362,3037
00652,23813,3129
00653,11788,1506
00656,19054,1724
00659,20694,1174
00660,20770,2087
00662,17375,1583
00664,16389,2239
00667,15426,1670
00669,17589,1259
00670,15516,3112
00674,19103,1462
00676,17423,1923
00677,24325,3336
00678,18269,2762
00680,15340,880
00682,15678,1530
00683,16764,1623
00685,16785,1441
00687,21598,1557
00688,16181,1282
00690,18142,2737
00692,22144,1400
00693,21647,1099
00694,,
00698,16403,1424
00703,22023,2197
00704,18917,3246
00705,21282,2185
00707,21365,3179
00714,14933,1660
00715,13787,3701
00716,19164,1692
00717,12228,1354
00718,18333,1819
00719,19197,2195
00720,15485,1776
00723,18107,2237
00725,24262,1414
00727,31204,2034
00728,20542,1135
00729,24289,1645
00730,16734,1214
00731,15097,2873
00735,20864,1867
00736,24099,1598
00738,22162,1677
00739,23021,1363
00740,10984,7231
00741,24143,6489
00745,23882,1515
00751,18458,1870
00754,19320,1630
00757,20786,1670
00765,14942,2258
00766,20774,2004
00767,17390,1660
00769,18994,2378
00771,23873,3147
00772,16425,1896
00773,22216,1746
00775,25104,5802
00777,22317,2264
00778,35690,4575
00780,23684,3848
00782,14978,2490
00783,19192,2072
00784,17821,1595
00786,,
00791,22316,1336
00794,19997,2518
00795,21252,1389
00901,27426,8612
00906,,
00907,38807,4140
00909,19512,4742
00911,34413,6904
00912,28011,4762
00913,5746,1911
00915,12921,1739
00917,16277,1596
00918,31993,4033
00920,26217,1251
00921,20147,1796
00923,16950,1501
00924,19876,1902
00925,12880,4040
00926,35680,1942
00927,36638,4052
00934,,
00949,29319,1533
00950,,
00951,20662,14904
00952,17018,1917
00953,28459,2338
00956,25506,1185
00957,26384,1462
00959,30418,1574
00960,,
00961,34346,5377
00962,17315,1719
00965,15407,3034
00966,50154,8521
00968,47372,13324
00969,50730,2546
00971,26849,2972
00976,33822,1464
00979,33503,4365
00982,25569,2472
00983,28472,2618
00985,29693,2272
00987,33719,2958
01001,72444,7594
01002,65013,13710
01003,,
01005,103477,25982
01007,101076,8471
01008,79573,11470
01009,64809,35782
01010,84830,26749
01011,75640,3725
01012,68894,6404
01013,52721,5309
01020,61963,5321
01022,50134,9102
01026,76100,6365
01027,64330,2991
01028,95284,4729
01029,88750,36102
01030,86136,13206
01031,49071,20789
01032,83750,27923
01033,106821,17009
01034,91176,13225
01035,101458,19669
01036,99400,10203
01037,85250,36294
01038,90893,13093
01039,99896,15878
01040,45045,2869
01050,70800,13753
01053,56094,18752
01054,97188,18599
01056,72563,5382
01057,72567,10208
01060,70467,6545
01062,78526,10557
01063,,
01066,,
01068,85078,7951
01069,64300,15769
01070,71000,15251
01071,94286,14475
01072,79226,13818
01073,110200,22320
01074,81681,20433
01075,82278,10904
01077,100337,13904
01079,65184,59971
01080,80087,14637
01081,85938,12973
01082,60281,8290
01083,81078,23768
01084,78750,15430
01085,74341,5521
01088,60260,41631
